21000000,X,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,U,X,92
21000001,U,U,U,X,X,X,U,X,U,U,U,U,X,X,U,U,X,X,40
21000002,X,X,U,X,X,U,X,X,X,X,X,U,X,X,U,X,X,X,74
21000003,X,X,X,X,X,U,U,X,X,X,X,X,X,U,U,X,X,X,79
21000004,X,U,X,U,U,U,U,U,U,U,U,U,U,X,X,U,U,U,0
21000005,U,U,U,U,X,U,X,X,U,U,U,X,U,U,U,X,U,U,0
21000006,U,X,X,X,U,U,U,X,X,U,X,X,U,X,U,X,U,X,50
21000007,U,X,U,X,X,X,X,X,U,U,X,X,X,U,X,X,U,X,63
21000008,U,U,X,X,U,X,X,X,X,X,U,X,X,U,X,X,X,U,73
21000009,X,X,X,X,X,X,X,X,X,U,X,X,X,X,X,U,X,X,90
21000010,U,X,U,X,X,U,X,U,X,X,U,U,X,X,X,X,X,X,73
21000011,U,U,U,U,X,U,U,U,U,U,U,U,U,U,U,U,U,U,0
21000012,U,U,U,X,X,X,X,X,X,U,X,X,U,U,U,X,U,U,57
21000013,U,U,X,X,U,U,U,U,U,U,U,U,X,U,U,X,X,X,30
21000014,X,U,X,X,X,U,X,X,X,X,X,U,X,X,X,X,X,X,90
21000015,X,X,X,U,X,X,X,U,U,X,U,U,X,X,X,X,U,X,72
21000016,X,U,U,X,X,X,X,U,U,U,X,U,X,X,U,U,X,U,50
21000017,X,X,X,X,U,U,X,X,X,U,U,X,U,X,X,X,X,X,76
21000018,U,X,U,X,U,U,X,X,X,U,U,U,U,U,X,U,U,X,33
21000019,U,X,X,U,X,X,X,X,X,U,X,U,U,X,X,X,X,X,72
21000020,X,U,U,U,X,U,U,X,U,X,X,U,U,X,X,X,X,X,54
21000021,U,U,U,U,X,U,U,U,U,X,U,U,U,U,U,U,U,U,0
21000022,U,X,U,U,X,U,X,U,X,U,X,X,U,U,U,X,U,U,33
21000023,U,U,X,U,X,X,X,X,X,X,U,X,X,X,U,X,X,X,82
21000024,X,X,U,X,U,U,U,X,X,X,X,X,X,U,U,X,X,X,64
21000025,X,U,U,U,X,U,X,X,X,U,U,U,U,U,U,U,U,U,0
21000026,X,U,U,X,X,X,U,U,X,U,X,X,X,U,U,X,U,U,59
21000027,U,U,X,X,X,X,U,X,X,U,U,U,U,U,X,U,U,U,48
21000028,U,U,U,U,U,X,U,U,U,X,U,U,X,U,U,X,X,U,0
21000029,X,U,U,U,U,X,X,U,X,U,U,U,U,U,X,X,X,X,54
21000030,U,U,U,X,X,U,U,U,X,U,U,X,U,U,U,X,X,U,36
21000031,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,U,92
21000032,X,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,97
21000033,X,U,X,X,U,X,X,X,U,U,U,U,X,U,X,U,X,X,51
21000034,X,X,X,X,X,X,X,X,X,X,X,U,X,X,U,X,X,X,93
21000035,U,X,X,U,U,U,U,U,U,X,X,U,U,X,U,U,X,U,34
21000036,U,U,U,X,X,X,U,X,U,U,U,X,X,X,U,X,X,X,55
21000037,U,U,X,X,U,X,X,X,X,X,X,U,X,X,X,X,X,U,82
21000038,X,U,X,X,U,X,X,X,X,X,U,X,X,X,X,X,X,U,83
21000039,U,U,X,U,X,X,X,U,X,U,X,U,U,U,X,U,X,U,39
21000040,X,X,X,X,X,X,X,X,U,X,X,X,U,X,X,X,X,X,85
21000041,U,U,X,U,U,X,X,U,U,U,X,U,X,X,U,X,X,X,60
21000042,U,X,X,X,X,X,U,X,U,X,X,U,U,X,X,U,X,U,56
21000043,X,X,X,X,U,X,U,X,X,X,X,X,X,X,X,X,X,X,96
21000044,X,X,X,X,U,X,X,X,X,U,X,X,U,U,X,X,X,U,74
21000045,X,X,X,U,X,U,X,U,X,U,X,X,X,X,X,X,X,X,77
21000046,X,X,X,X,U,X,X,X,X,X,X,X,U,X,U,X,U,X,80
21000047,U,X,U,X,X,U,X,X,X,X,X,X,X,X,U,X,U,X,67
21000048,X,U,X,X,U,X,X,U,U,U,X,U,U,U,X,X,X,U,57
21000049,X,U,X,X,U,X,X,U,X,X,U,X,X,X,U,U,U,X,59
21000050,X,X,U,U,X,X,X,X,X,X,U,U,X,X,X,U,X,X,77
21000051,X,U,U,X,X,X,U,X,X,U,X,X,X,X,U,U,X,U,70
21000052,X,X,X,X,X,X,X,X,X,X,U,X,X,U,X,X,X,U,89
21000053,U,X,X,X,X,X,X,X,X,U,X,X,X,X,U,X,U,X,80
21000054,U,X,X,X,X,X,U,X,X,X,X,X,X,X,X,X,X,X,91
21000055,X,X,X,U,X,U,U,X,X,U,U,U,U,U,U,U,U,X,37
